id,age,gender,income,education,region,loyalty_status,purchase_frequency,purchase_amount,product_category,promotion_usage,satisfaction_score
215,26,Female,38394,College,South,Regular,occasional,11142,Clothing,0,3
216,37,Female,23829,Bachelor,West,Silver,occasional,8019,Electronics,0,5
217,28,Male,48586,Masters,North,Regular,occasional,16810,Electronics,1,5
218,27,Female,22675,HighSchool,East,Regular,occasional,7789,Books,0,5
219,24,Female,46062,College,North,Gold,rare,18283,Electronics,0,5
220,24,Male,32402,College,West,Regular,occasional,11514,Clothing,1,4
221,27,Male,40775,Bachelor,West,Silver,occasional,15517,Food,0,5
222,33,Female,28231,HighSchool,North,Silver,rare,8315,Clothing,0,4
223,35,Male,17811,Bachelor,South,Regular,rare,5726,Electronics,0,5
224,33,Female,46503,Bachelor,West,Silver,rare,15433,Health,1,4
225,28,Male,19546,Bachelor,North,Regular,frequent,8674,Books,1,6
226,30,Male,29669,Bachelor,South,Regular,occasional,8043,Books,0,7
227,27,Male,30931,HighSchool,South,Regular,occasional,11448,Clothing,0,7
228,27,Male,38353,HighSchool,South,Regular,frequent,12238,Clothing,1,6
229,34,Male,32273,Bachelor,South,Regular,occasional,12552,Books,1,4
230,25,Male,36185,College,West,Silver,frequent,13074,Electronics,0,5
231,39,Female,43215,Bachelor,West,Gold,rare,15588,Health,0,5
232,30,Female,40741,Bachelor,East,Regular,frequent,10836,Food,0,3
233,31,Female,49609,College,South,Regular,occasional,20051,Electronics,1,5
234,27,Female,8349,College,East,Silver,rare,2167,Electronics,0,6
235,27,Female,30281,College,East,Regular,rare,10599,Books,0,5
236,24,Female,10103,Bachelor,East,Regular,rare,2749,Food,1,3
237,29,Male,43970,College,West,Silver,rare,14540,Electronics,0,4
238,32,Female,19535,College,West,Regular,rare,6048,Electronics,0,5
239,31,Male,27264,Masters,South,Regular,rare,8536,Clothing,0,5
240,27,Male,6765,HighSchool,West,Regular,rare,2668,Food,0,4
241,26,Male,11387,College,North,Regular,rare,3473,Electronics,0,6
242,28,Female,21174,Bachelor,East,Silver,rare,6930,Food,0,5
243,37,Male,24253,Bachelor,North,Regular,occasional,12194,Health,0,4
244,25,Female,24190,Bachelor,West,Regular,occasional,9663,Electronics,0,6
245,29,Male,18220,College,North,Regular,rare,6657,Health,0,6
246,39,Female,40676,HighSchool,North,Regular,rare,13107,Beauty,1,5
247,30,Male,13717,Bachelor,West,Regular,rare,5133,Electronics,0,6
248,24,Male,18666,HighSchool,East,Regular,occasional,6429,Clothing,1,6
249,27,Male,21257,Bachelor,North,Regular,rare,8260,Electronics,1,6
250,32,Male,10956,College,East,Regular,rare,4354,Electronics,0,3
251,28,Male,26777,Masters,South,Silver,rare,10562,Electronics,0,3
252,27,Female,49369,Bachelor,South,Regular,occasional,20269,Food,0,3
253,28,Male,33724,Masters,South,Regular,frequent,12105,Books,0,4
254,30,Male,39742,HighSchool,North,Silver,frequent,15486,Books,1,4
255,37,Female,29977,Bachelor,East,Regular,occasional,10274,Health,1,5
256,30,Male,14996,Bachelor,West,Silver,frequent,4868,Clothing,0,6
257,35,Male,8397,HighSchool,North,Regular,rare,2623,Clothing,0,6
258,33,Female,25532,Bachelor,South,Silver,occasional,9754,Books,0,5
259,29,Female,12771,College,North,Silver,frequent,5408,Clothing,0,3
260,23,Male,40637,College,North,Gold,rare,15480,Beauty,0,6
261,28,Female,38961,College,North,Silver,rare,10382,Clothing,0,6
262,28,Female,6156,College,West,Silver,rare,1771,Books,0,6
263,30,Male,45604,College,West,Regular,occasional,15190,Electronics,0,5
264,36,Male,42666,Masters,North,Regular,occasional,16756,Food,1,5
265,40,Female,47180,HighSchool,West,Regular,occasional,19849,Food,0,7
266,37,Male,39336,HighSchool,East,Regular,occasional,12318,Electronics,0,5
267,29,Female,33422,College,South,Silver,rare,11767,Food,0,5
268,22,Male,36568,Bachelor,West,Regular,frequent,12768,Electronics,0,4
269,28,Female,37258,Bachelor,North,Regular,rare,10312,Food,0,5
270,30,Female,46086,College,West,Regular,occasional,16062,Electronics,0,2
271,34,Male,16479,Bachelor,North,Silver,rare,5591,Electronics,1,5
272,34,Female,8834,College,North,Regular,occasional,3274,Electronics,0,5
273,33,Male,42906,College,South,Gold,frequent,12738,Health,0,5
274,24,Male,38719,Masters,West,Silver,rare,13016,Home,0,5
275,34,Male,32828,College,West,Silver,occasional,12406,Health,1,5
276,28,Female,16060,Bachelor,North,Gold,occasional,6997,Electronics,1,5
277,31,Female,11390,HighSchool,North,Regular,frequent,3556,Clothing,0,5
278,30,Male,27954,College,East,Silver,rare,6872,Food,0,5
279,32,Female,15613,College,North,Silver,rare,6081,Food,0,5
280,30,Female,7208,Bachelor,North,Regular,occasional,2700,Electronics,0,7
281,23,Female,43082,Bachelor,South,Silver,rare,16697,Electronics,0,6
282,33,Female,26733,HighSchool,North,Gold,rare,9219,Food,1,5
283,32,Male,45673,College,North,Regular,occasional,12287,Clothing,1,5
284,29,Male,22722,HighSchool,North,Silver,occasional,6500,Beauty,1,5
285,31,Male,36436,HighSchool,North,Regular,rare,13047,Books,1,7
286,31,Male,38301,Masters,West,Regular,rare,14734,Electronics,0,5
287,31,Male,29424,HighSchool,South,Regular,occasional,9737,Food,0,6
288,37,Male,47514,Bachelor,East,Regular,rare,13508,Clothing,0,6
289,29,Female,26094,College,South,Silver,occasional,10512,Clothing,0,6
290,31,Female,21403,Masters,East,Regular,occasional,8147,Electronics,1,6
291,35,Female,13889,College,East,Regular,rare,3315,Books,0,3
292,35,Male,31351,Masters,East,Regular,frequent,10382,Electronics,0,6
293,35,Female,48246,College,North,Silver,rare,15809,Home,0,6
294,27,Female,14403,College,East,Silver,occasional,4884,Food,0,7
295,39,Male,30049,College,West,Silver,rare,12715,Books,0,5
296,30,Female,15992,College,South,Silver,frequent,5670,Health,0,6
297,38,Male,37902,College,East,Silver,rare,12100,Electronics,0,5
298,24,Female,24085,HighSchool,South,Regular,rare,9676,Clothing,1,4
299,30,Female,42608,Masters,West,Regular,rare,12683,Food,1,5
300,36,Female,29018,HighSchool,East,Silver,rare,8926,Health,1,5
301,27,Female,7479,College,South,Regular,occasional,2057,Electronics,0,6
302,27,Female,19355,Masters,West,Silver,frequent,7050,Clothing,0,5
303,26,Male,9202,College,West,Silver,rare,3117,Electronics,1,5
304,25,Male,25097,HighSchool,East,Regular,rare,8868,Electronics,0,4
305,28,Male,14495,Masters,North,Gold,rare,5126,Electronics,0,5
306,31,Female,6823,Bachelor,East,Gold,rare,2301,Electronics,0,7
307,21,Male,18994,College,East,Regular,occasional,6887,Food,1,6
308,31,Female,21562,College,East,Regular,occasional,8190,Electronics,1,4
309,36,Male,41540,College,East,Regular,rare,13352,Books,0,6
310,39,Male,38428,Bachelor,East,Gold,frequent,10912,Books,1,6
311,36,Male,24307,Bachelor,East,Silver,rare,9610,Electronics,0,6
312,33,Male,23687,Bachelor,North,Silver,frequent,9973,Electronics,0,6
313,22,Female,35555,College,West,Regular,rare,9539,Books,0,4
314,27,Female,6914,College,South,Silver,rare,2054,Electronics,0,6
315,28,Male,45122,College,North,Silver,rare,15244,Clothing,0,6
316,33,Male,45809,Bachelor,North,Regular,rare,14109,Beauty,1,6
317,30,Female,48613,Bachelor,West,Silver,rare,16170,Beauty,0,5
318,24,Male,35447,College,South,Regular,frequent,11624,Books,0,6
319,38,Female,17904,College,East,Regular,occasional,5706,Books,0,5
320,34,Male,7568,Masters,West,Regular,rare,2926,Electronics,1,6
321,31,Male,31778,Bachelor,East,Regular,occasional,12680,Books,1,4
322,35,Female,33869,College,South,Regular,occasional,11264,Books,0,5
323,24,Female,18743,College,East,Regular,rare,5937,Food,0,4
324,33,Female,8375,College,West,Regular,rare,2976,Electronics,0,5
325,28,Male,37689,HighSchool,North,Silver,occasional,15993,Health,0,6
326,33,Female,48920,HighSchool,East,Silver,occasional,18177,Clothing,0,5
327,30,Male,39950,Bachelor,West,Regular,rare,13642,Clothing,0,7
328,33,Female,29959,Bachelor,West,Regular,occasional,10801,Books,0,6
329,36,Female,45091,Bachelor,North,Regular,occasional,16138,Clothing,1,4
330,30,Female,13294,HighSchool,West,Gold,occasional,4709,Clothing,1,5
331,35,Male,22058,College,South,Regular,occasional,7294,Electronics,0,4
332,25,Female,43068,College,South,Gold,rare,14033,Clothing,0,2
333,27,Female,41925,HighSchool,West,Regular,rare,13664,Health,0,5
334,37,Male,30434,HighSchool,South,Regular,rare,10953,Books,1,4
335,32,Female,18769,Bachelor,South,Silver,rare,8024,Electronics,0,5
336,21,Male,23464,Bachelor,South,Silver,rare,7759,Beauty,0,4
337,24,Male,11074,Bachelor,South,Silver,occasional,2316,Beauty,0,5
338,29,Male,40798,Bachelor,West,Silver,rare,15592,Beauty,1,5
339,34,Female,42056,College,East,Gold,rare,14809,Food,0,4
340,30,Male,21814,College,East,Regular,rare,7372,Food,1,4
341,33,Male,46318,College,West,Regular,occasional,16859,Food,0,6
342,34,Female,30009,HighSchool,West,Regular,rare,10114,Electronics,0,4
343,37,Female,42990,College,West,Gold,rare,10937,Books,1,5
344,30,Female,9703,Bachelor,North,Silver,frequent,3538,Food,1,5
345,30,Male,43047,Masters,West,Regular,occasional,14408,Food,0,5
346,22,Male,17407,College,West,Silver,rare,6142,Food,0,5
347,30,Female,36111,HighSchool,West,Regular,frequent,14341,Clothing,0,4
348,27,Male,40424,College,North,Regular,rare,15517,Electronics,0,4
349,26,Male,31521,Bachelor,East,Regular,occasional,9615,Health,0,6
350,29,Female,7938,College,West,Regular,rare,2589,Electronics,0,5
351,35,Female,40922,Bachelor,East,Gold,frequent,13098,Beauty,0,7
352,21,Male,25727,College,South,Regular,occasional,8405,Clothing,0,5
353,28,Male,22111,College,West,Regular,rare,7874,Books,0,5
354,31,Male,10488,College,West,Regular,rare,3372,Electronics,0,4
355,26,Male,14492,College,West,Regular,rare,4717,Beauty,0,5
356,31,Male,10673,College,East,Silver,rare,3629,Home,1,3
357,32,Female,9773,College,East,Regular,rare,3955,Clothing,0,5
358,30,Male,9643,HighSchool,East,Silver,frequent,4031,Health,0,7
359,19,Male,41235,Bachelor,East,Regular,rare,12627,Clothing,1,7
360,41,Male,16838,College,West,Gold,frequent,5845,Electronics,1,4
361,29,Male,10105,College,East,Regular,occasional,4364,Electronics,0,4
362,33,Female,6607,Bachelor,West,Regular,frequent,2473,Electronics,0,2
363,31,Female,28025,Bachelor,West,Regular,frequent,12682,Home,0,6
364,35,Female,34048,HighSchool,East,Regular,frequent,12173,Electronics,0,5
365,34,Male,15875,Masters,West,Silver,rare,5693,Food,0,5
366,29,Male,46373,College,North,Regular,occasional,17856,Books,0,4
367,32,Female,16339,Masters,North,Regular,occasional,5765,Electronics,1,3
368,26,Female,35023,College,West,Silver,rare,10259,Books,0,5
369,34,Female,39534,Masters,East,Silver,rare,15578,Books,1,5
370,28,Male,10439,College,South,Regular,frequent,4038,Clothing,1,5
371,41,Male,7753,HighSchool,West,Regular,rare,1753,Clothing,0,5
372,23,Male,15592,College,East,Silver,rare,4665,Books,0,4
373,28,Female,24408,College,North,Regular,rare,7806,Clothing,1,4
374,34,Female,42544,HighSchool,East,Silver,occasional,11805,Electronics,0,5
375,32,Male,34992,Masters,North,Gold,occasional,10615,Food,1,4
376,27,Male,27084,HighSchool,South,Regular,frequent,7323,Food,1,4
377,26,Female,13891,College,North,Silver,occasional,5510,Books,0,6
378,31,Male,19763,Masters,East,Regular,rare,6478,Electronics,0,4
379,30,Female,39032,College,North,Silver,occasional,13794,Clothing,1,6
380,22,Female,44147,College,North,Regular,rare,17362,Electronics,1,4
381,30,Male,26175,College,North,Gold,frequent,7418,Health,0,5
382,31,Male,42723,HighSchool,East,Silver,occasional,13045,Electronics,0,5
383,31,Female,41087,College,East,Regular,frequent,13315,Books,0,5
384,25,Female,45806,Bachelor,North,Regular,occasional,13282,Clothing,0,6
385,32,Male,32593,Bachelor,South,Regular,rare,12289,Beauty,1,5
386,36,Male,42008,College,East,Silver,rare,13351,Food,0,5
387,32,Male,20779,HighSchool,North,Silver,occasional,6412,Books,1,6
388,25,Female,42990,College,West,Gold,occasional,15991,Health,1,6
389,28,Female,14253,College,South,Regular,rare,4487,Beauty,1,4
390,32,Female,33193,Bachelor,North,Regular,rare,10499,Electronics,0,5
391,27,Female,37881,Bachelor,East,Regular,occasional,16165,Books,0,4
392,20,Female,19329,Bachelor,North,Regular,occasional,6796,Books,1,3
393,34,Female,15937,College,West,Gold,occasional,5345,Books,0,4
394,26,Female,45551,College,South,Silver,occasional,17274,Books,0,5
395,27,Male,14171,Bachelor,South,Silver,rare,5348,Food,0,5
396,37,Male,6122,College,North,Regular,rare,1729,Electronics,0,5
397,27,Female,43270,College,East,Regular,occasional,15992,Health,0,5
398,34,Female,26165,Bachelor,East,Regular,occasional,7130,Electronics,0,3
399,24,Female,38172,Bachelor,West,Gold,occasional,12982,Food,0,5
